# File Starting Date: 31 01 2020 TIME 09:17:40.4
# Directory: /scratch/ep0/hm1876/CeO2/PH/CeO2-OH--8H2O/OH--OV-UF-O2-/option4
# File: /scratch/ep0/hm1876/CeO2/PH/CeO2-OH--8H2O/OH--OV-UF-O2-/option4/CeO2-01.out
# CYCLE_NUMBER | TOTAL_ENERGY (Ha) | SCF_CYCLES | MAX_GRADIENT(0.000450) | RMS_GRADIENT(0.000300) | MAX_DISPLAC.(0.001800) | RMS_DISPLAC.(0.001200) | TRUST_RADIUS
 	 1 	 -17733.2340230410 	 42	 	 0.065107 NO	 	 0.011782 NO	 	 0.000000 	 	 0.000000 	           0.000
 	 2 	 -17734.7266875860 	 65	 	 0.093897 NO	 	 0.014814 NO	 	 0.255662 NO	 	 0.031311 NO	           0.500
 	 3 	 -17734.7599607440 	 113	 	 0.057785 NO	 	 0.009245 NO	 	 0.178996 NO	 	 0.031311 NO	           0.500
 	 4 	 -17734.7918752430 	 42	 	 0.077601 NO	 	 0.010399 NO	 	 0.448252 NO	 	 0.062622 NO	           1.000
 	 5 	 -17734.7934819670 	 142	 	 0.034162 NO	 	 0.006297 NO	 	 0.111728 NO	 	 0.015656 NO	           0.250
 	 6 	 -17734.8199962980 	 64	 	 0.066928 NO	 	 0.009741 NO	 	 0.178925 NO	 	 0.031311 NO	           0.500
 	 7 	 -17734.8321860780 	 24	 	 0.046667 NO	 	 0.006559 NO	 	 0.246122 NO	 	 0.062622 NO	           1.000
 	 8 	 -17734.8461789620 	 19	 	 0.043884 NO	 	 0.007961 NO	 	 0.401689 NO	 	 0.062622 NO	           1.000
 	 9 	 -17734.8527674790 	 9	 	 0.032902 NO	 	 0.006943 NO	 	 0.304024 NO	 	 0.062622 NO	           1.000
 	 10 	 -17734.8583202890 	 9	 	 0.027237 NO	 	 0.005843 NO	 	 0.100362 NO	 	 0.015656 NO	           0.250
 	 11 	 -17734.8630711730 	 6	 	 0.027014 NO	 	 0.005082 NO	 	 0.127305 NO	 	 0.031311 NO	           0.500
 	 12 	 -17734.8671569950 	 7	 	 0.030459 NO	 	 0.005129 NO	 	 0.275603 NO	 	 0.031311 NO	           0.500
 	 13 	 -17734.8699080330 	 6	 	 0.027541 NO	 	 0.004328 NO	 	 0.215904 NO	 	 0.031311 NO	           0.500
 	 14 	 -17734.8720855440 	 6	 	 0.019420 NO	 	 0.004255 NO	 	 0.257236 NO	 	 0.031311 NO	           0.500
 	 15 	 -17734.8731800340 	 5	 	 0.019669 NO	 	 0.004410 NO	 	 0.223524 NO	 	 0.031311 NO	           0.500
 	 16 	 -17734.8739000350 	 5	 	 0.014719 NO	 	 0.004255 NO	 	 0.184122 NO	 	 0.031311 NO	           0.500
 	 17 	 -17734.8746566070 	 5	 	 0.015722 NO	 	 0.004160 NO	 	 0.045648 NO	 	 0.007828 NO	           0.125
 	 18 	 -17734.8758793300 	 4	 	 0.016210 NO	 	 0.004151 NO	 	 0.110453 NO	 	 0.015656 NO	           0.250
 	 19 	 -17734.8770978650 	 5	 	 0.016700 NO	 	 0.004123 NO	 	 0.084890 NO	 	 0.015656 NO	           0.250
 	 20 	 -17734.8796705550 	 5	 	 0.016363 NO	 	 0.004011 NO	 	 0.213142 NO	 	 0.031311 NO	           0.500
 	 21 	 -17734.8813690930 	 5	 	 0.017356 NO	 	 0.004191 NO	 	 0.131597 NO	 	 0.031311 NO	           0.500
 	 22 	 -17734.8839523460 	 6	 	 0.017166 NO	 	 0.004396 NO	 	 0.155991 NO	 	 0.031311 NO	           0.500
# Done!
