# File Starting Date: 19 04 2020 TIME 10:27:24.5
# Directory: /scratch/ep0/hm1876/CeO2/PH/CeO2-H3O+-8H2O/H3O+-OV-F-O2-/option1/2-PROTON
# File: /scratch/ep0/hm1876/CeO2/PH/CeO2-H3O+-8H2O/H3O+-OV-F-O2-/option1/2-PROTON/CeO2-21.out
# TOLDEE: 5
# LEVSHIFT USED
# MAXCYCLE: 1024
# CYCLE_NUMBER | TOTAL_ENERGY (Ha) | SCF_CYCLES | MAX_G.(0.00045) | RMS_G.(0.00030) | MAX_D.(0.00180) | RMS_D.(0.00120) | TRUST_R.(4.00000)
 	 19 	 -17735.9425790650 	 16	 0.011392 NO	 0.002731 NO	 0.034687 NO	 0.007693 NO	           0.125
 	 20 	 -17735.9443616420 	 88	 0.009836 NO	 0.002378 NO	 0.031019 NO	 0.007693 NO	           0.000
 	 21 	 -17735.9456399290 	 15	 0.007956 NO	 0.002057 NO	 0.074445 NO	 0.015386 NO	           0.250
 	 22 	 -17735.9466395150 	 16	 0.007785 NO	 0.001910 NO	 0.098501 NO	 0.015386 NO	           0.250
 	 23 	 -17735.9474898500 	 69	 0.006166 NO	 0.001538 NO	 0.174886 NO	 0.030773 NO	           0.500
 	 24 	 -17735.9476529200 	 14	 0.011058 NO	 0.001851 NO	 0.045436 NO	 0.007693 NO	           0.125
 	 25 	 -17735.9482196470 	 15	 0.008231 NO	 0.001570 NO	 0.073525 NO	 0.007693 NO	           0.125
xxx 	 26 	 -17735.9480338710 	 16	 0.008231 NO	 0.001570 NO	 0.012271 NO	 0.001923 NO	           0.031
 	 27 	 -17735.9482865400 	 85	 0.007254 NO	 0.001495 NO	 0.015211 NO	 0.001923 NO	           0.031
 	 28 	 -17735.9487325660 	 15	 0.006775 NO	 0.001318 NO	 0.015572 NO	 0.003847 NO	           0.062
xxx 	 29 	 -17735.9483416980 	 15	 0.006775 NO	 0.001318 NO	 0.004654 NO	 0.000962 YES	           0.016
xxx 	 30 	 -17735.9485919930 	 72	 0.006775 NO	 0.001318 NO	 0.001141 YES	 0.000240 YES	           0.004
 	 31 	 -17735.9488130000 	 16	 0.006239 NO	 0.001237 NO	 0.002476 NO	 0.000481 YES	           0.008
xxx 	 32 	 -17735.9481280830 	 16	 0.006239 NO	 0.001237 NO	 0.000526 YES	 0.000120 YES	           0.002
xxx 	 33 	 -17735.9466452230 	 16	 0.006239 NO	 0.001237 NO	 0.000143 YES	 0.000030 YES	           0.000
xxx 	 34 	 -17735.9485380210 	 95	 0.006239 NO	 0.001237 NO	 0.000038 YES	 0.000008 YES	           0.000
 	 35 	 -17735.9488691100 	 16	 0.006212 NO	 0.001227 NO	 0.000071 YES	 0.000015 YES	           0.000
xxx 	 36 	 -17735.9456535060 	 9	 0.006212 NO	 0.001227 NO	 0.000019 YES	 0.000004 YES	           0.000
# Done!
